country,Max_city,Max_col,min_city,min_col
Sudan,"Al Manaqil",61527.62,Khartoum,57182.36
Suriname,Lelydorp,68524.58,Paramaribo,56934.01
Swaziland,Manzini,47193.95,Mbabane,47061.91
Sweden,Stockholm,78303.74,Skovde,47730.15
Switzerland,Solothurn,89444.07,Visp,63724.43
Syria,"Az Zabadani",71128.46,Hamah,51761.07
Taiwan,Taipei,83521.64,Chiayi,64959.17
Tajikistan,Dushanbe,44565.19,Khujand,44515.3
Tanzania,Mtwara,68524.58,Dodoma,41145.71
Thailand,Bangkok,75986.98,"Sakon Nakhon",43695.6
Timor-Leste,Dili,72101.61,Dili,72101.61
Togo,Lome,47104.67,Lome,47104.67
Tonga,Neiafu,68509.88,Nuku`alofa,67717.79
"Trinidad And Tobago",Tunapuna,81862.58,Arima,56780.94
Tunisia,Manouba,68439,Kairouan,35130.15
Turkey,Artvin,75801.95,Kirklareli,49504.51
Turkmenistan,Turkmenbasy,68086.61,Ashgabat,60721.83
"Turks And Caicos Islands","Grand Turk",63461.66,"Grand Turk",63461.66
Tuvalu,Funafuti,62593.22,Funafuti,62593.22
Uganda,Kapchorwa,68432.13,Kasese,42767.34
Ukraine,Bilhorod-Dnistrovskyi,67271.84,Mykolaiv,35101.02
"United Arab Emirates","Al Fujayrah",77694.27,Sharjah,57442.2
"United Kingdom",Ashford,90549.78,Hexham,51940.99
"United States",Buffalo,88491.35,Yankton,45791.4
Uruguay,Atlantida,77496.09,Salto,63238.05
Uzbekistan,Shahrisabz,68483.07,Namangan,37973.26
Vanuatu,Port-Vila,62080.92,Port-Vila,62080.92
"Vatican City","Vatican City",68041.51,"Vatican City",68041.51
Venezuela,Barquisimeto,78872.02,Valencia,57705.29
Vietnam,"Cam Pha",80360.16,"Phan Thiet",54148.76
Yemen,Ta`izz,69506.6,Ibb,48760.71
Zambia,Kafue,73469.44,Kitwe,68492.37
Zimbabwe,Mutare,71482.88,Bulawayo,61878.63
